ED,Median earned income per commuter travelling less than 30 minutes (Euro) by Electoral Division and Year,Median earned income per commuter travelling greater than 30 minutes,"Agriculture, Forestry and Fishing (A) (%)",Construction (F) (%),"Financial, Real Estate, Administrative and Services (K,L,N,S) (%)","ICT, Scientific and Recreation (J,M,R) (%)","Industry (B,C,D,E) (%)","Public Service, Education and Health (O,P,Q) (%)","Wholesale, Transport and Accomodation (G,H,I) (%)",Proportion of households working age social welfare was majority of household income (%) by Electoral Division and Year
"001  Carlow Urban, Co. Carlow",22520.00,35617.00,1.10,5.00,14.00,11.00,12.60,30.90,25.30,29.40
"002 Graigue Urban, Co. Carlow",21180.00,31854.00,2.00,8.30,16.20,8.10,12.70,25.70,26.90,26.30
"003 Clonmore, Co. Carlow",25389.00,43499.00,10.60,8.90,13.30,12.20,13.90,27.30,13.70,12.10
"004 Hacketstown, Co. Carlow",25791.00,33827.00,6.60,10.50,9.80,12.20,12.50,24.70,23.70,23.50
"005 Haroldstown, Co. Carlow",28277.00,33790.00,12.10,10.20,11.00,13.50,14.60,23.20,15.40,14.60
"006 Kineagh, Co. Carlow",29204.00,32474.00,17.30,8.90,12.20,4.60,11.30,26.90,18.80,12.70
"007 Rahill, Co. Carlow",24990.00,33500.00,8.80,5.60,9.00,12.80,11.30,30.90,21.70,12.60
"008 Rathvilly, Co. Carlow",23629.00,34484.00,5.50,10.20,10.10,7.60,17.20,32.00,17.50,22.40
"009 Tiknock, Co. Carlow",27961.00,38964.00,7.20,9.10,14.00,12.70,9.90,29.90,17.30,10.00
"010 Williamstown, Co. Carlow",32699.00,42221.00,12.30,7.80,15.20,15.00,10.10,21.90,17.70,10.20
"011 Agha, Co. Carlow",29121.00,43727.00,9.60,3.00,9.40,8.90,13.60,34.60,20.80,10.30
"012 Ballinacarrig (Part Urban), Co. Carlow",33986.00,45987.00,5.30,4.30,11.90,14.10,14.00,35.60,14.80,11.70
"013 Ballintemple, Co. Carlow",24631.00,39083.00,14.10,10.10,10.70,9.80,10.90,29.20,15.30,11.40
"014 Ballon, Co. Carlow",24021.00,35346.00,6.00,8.40,11.70,8.30,16.80,30.10,18.70,15.20
"015 Ballyellin, Co. Carlow",28043.00,43647.00,11.00,5.50,9.60,9.00,15.60,29.10,20.30,8.30
"016 Ballymoon, Co. Carlow",32394.00,37530.00,9.40,10.50,14.10,8.30,17.00,27.40,13.30,6.90
"017 Borris, Co. Carlow",24121.00,38595.00,8.90,5.60,9.10,12.70,15.60,27.40,20.80,15.90
"018 Burton Hall, Co. Carlow",38626.00,49284.00,2.70,5.40,11.20,16.20,13.20,34.30,17.10,9.70
"019 Carlow Rural (Part Urban), Co Carlow",26005.00,39289.00,0.90,5.10,12.10,11.70,13.40,34.90,21.90,21.80
"020 Clogrenan, Co. Carlow",27772.00,37845.00,4.20,7.40,12.30,8.70,17.50,31.90,17.90,12.40
"021 Clonegall, Co. Carlow",23803.00,39527.00,8.00,8.90,8.20,12.10,13.50,29.50,19.60,14.70
"022 Corries, Co. Carlow",25500.00,36129.00,7.90,8.50,14.60,9.40,18.80,22.30,18.40,13.50
"023 Cranemore, Co. Carlow",25582.00,41185.00,8.30,9.50,8.60,12.40,15.90,26.40,18.90,10.00
"024 Fennagh, Co. Carlow",28457.00,38750.00,8.40,6.90,10.90,10.20,22.30,28.10,13.20,16.20
"025 Garryhill, Co. Carlow",27839.00,37025.00,9.40,7.50,11.20,11.40,23.70,24.00,12.70,11.10
"026 Grangeford, Co. Carlow",26843.00,45427.00,10.20,10.70,9.20,11.50,14.30,27.10,16.80,13.30
"027 Johnstown, Co. Carlow",34149.00,47520.00,7.40,7.10,16.50,5.80,14.60,31.80,16.90,10.20
"028 Kellistown, Co. Carlow",33256.00,44885.00,4.50,5.90,12.70,8.80,18.00,32.70,17.40,16.80
"029 Kilbride, Co. Carlow",28369.00,38927.00,7.40,5.80,10.70,11.70,18.10,30.50,15.80,9.00
"030 Killedmond, Co. Carlow",27500.00,31688.00,10.30,8.70,9.60,8.90,27.20,21.20,14.20,11.50
"031 Killerrig, Co. Carlow",36463.00,36304.00,7.60,5.30,9.90,13.40,17.10,25.50,21.10,7.10
"032 Leighlinbridge, Co. Carlow",27578.00,46814.00,5.60,5.40,9.70,12.60,16.00,32.40,18.50,14.20
"033 Muinebeag (Bagenalstown) Rural, Co. Carlow",31337.00,41040.00,6.60,6.00,11.80,8.90,12.90,32.80,21.00,10.40
"034 Muinebeag (Bagenalstown) Urban, Co. Carlow",23624.00,36581.00,2.00,4.40,10.00,6.20,24.20,30.20,23.00,22.60
"035 Myshall, Co. Carlow",27067.00,30885.00,9.20,13.10,12.80,5.90,14.40,30.80,13.70,15.70
"036 Nurney, Co. Carlow",29397.00,42826.00,7.90,6.20,9.90,9.90,14.80,33.60,17.60,10.20
"037 Oldleighlin, Co. Carlow",28894.00,38733.00,10.80,7.10,12.00,13.10,15.40,28.80,12.70,15.30
"038 Rathanna, Co. Carlow",NA,NA,10.30,14.10,17.10,4.90,14.10,29.10,10.40,4.30
"039 Rathornan, Co. Carlow",22774.00,41831.00,10.00,9.20,11.60,10.30,18.10,20.80,19.90,14.50
"040 Rathrush, Co. Carlow",28987.00,37418.00,5.30,5.70,10.40,9.80,17.70,32.10,19.00,10.20
"041 Ridge, Co. Carlow",24667.00,29011.00,12.70,11.40,13.90,5.20,9.00,23.60,24.10,20.00
"042 Shangarry, Co. Carlow",29640.00,33300.00,9.40,6.50,9.50,11.20,18.10,27.30,18.00,9.80
"043 Sliguff, Co. Carlow",26940.00,39513.00,7.90,5.20,9.80,7.30,23.00,26.30,20.50,18.20
"044 Tankardstown, Co. Carlow",26778.00,43201.00,13.80,6.60,12.20,7.00,16.10,29.00,15.40,7.20
"045 Templepeter, Co. Carlow",34267.00,43676.00,8.10,9.30,9.70,7.00,19.00,33.40,13.40,7.70
"046 Tullowbeg, Co. Carlow",26855.00,38162.00,7.20,5.60,13.70,8.90,20.40,23.30,20.90,13.10
"047 Tullow Rural, Co. Carlow",28522.00,36418.00,9.20,6.50,11.20,16.40,15.40,22.70,18.70,10.40
"048 Tullow Urban, Co. Carlow",21222.00,35154.00,7.50,7.40,9.10,14.50,17.80,22.50,21.20,25.90
"049 Ballymurphy, Co. Carlow",26832.00,39106.00,17.40,9.60,5.80,3.50,17.30,25.60,20.90,11.00
"050 Coonogue, Co. Carlow",21393.00,27704.00,11.60,7.20,13.50,10.40,11.00,27.50,18.70,20.00
"051 Glynn, Co. Carlow",27286.00,38523.00,11.70,8.50,5.80,12.50,26.30,19.00,16.20,11.80
"052 Kyle, Co. Carlow",27338.00,43512.00,17.40,6.90,9.00,16.00,16.10,23.70,11.00,9.10
"053 Marley, Co. Carlow",18636.00,34692.00,9.20,10.40,11.90,9.60,16.80,28.10,13.90,15.00
"054 Tinnahinch, Co. Carlow",23621.00,34439.00,5.80,8.60,12.20,6.70,12.80,32.60,21.20,22.40
"001 Arran Quay A, Dublin City",29211.00,29499.00,0.80,3.40,20.00,25.80,5.00,28.90,16.10,11.20
"002 Arran Quay B, Dublin City",29610.00,31363.00,0.30,2.90,23.60,29.10,3.40,22.40,18.20,15.80
"003 Arran Quay C, Dublin City",33137.00,36140.00,0.10,1.40,24.10,36.00,3.20,19.00,16.30,13.80
"004 Arran Quay D, Dublin City",34084.00,35669.00,0.10,2.50,16.20,25.10,4.60,35.80,15.80,19.80
"005 Arran Quay E, Dublin City",32858.00,38597.00,0.30,1.40,17.30,29.90,3.50,33.60,14.00,14.60
"006 Ashtown A, Dublin City",39788.00,40876.00,0.10,2.50,22.80,22.80,5.60,29.40,16.80,7.10
"007 Ashtown B, Dublin City",44499.00,44503.00,0.40,3.80,19.90,22.60,4.20,34.50,14.70,6.40
"008 Ayrfield, Dublin City",30878.00,34057.00,0.10,5.00,19.00,15.00,8.70,24.80,27.50,13.80
"009 Ballybough A, Dublin City",26319.00,30275.00,NA,3.80,22.40,21.00,3.30,30.40,19.10,28.60
"010 Ballybough B, Dublin City",28377.00,28488.00,0.50,3.20,23.50,21.60,4.40,29.00,17.80,19.20
"011 Ballygall A, Dublin City",29007.00,31501.00,NA,4.30,17.50,13.30,5.80,34.70,24.40,16.20
"012 Ballygall B, Dublin City",29737.00,35081.00,NA,2.80,17.30,19.50,6.00,32.70,21.70,13.00
"013 Ballygall C, Dublin City",37554.00,40956.00,NA,2.30,16.90,19.40,5.70,36.00,19.70,5.70
"014 Ballygall D, Dublin City",35679.00,37553.00,NA,3.00,20.30,14.80,6.10,35.00,20.70,10.00
"015 Ballymun A, Dublin City",28600.00,30867.00,0.10,2.90,18.00,12.60,8.00,34.70,23.60,22.20
"016 Ballymun B, Dublin City",20849.00,20962.00,0.70,3.20,22.40,8.20,7.70,21.80,35.90,33.00
"017 Ballymun C, Dublin City",22537.00,27352.00,0.50,3.60,20.40,12.60,6.10,26.10,30.80,28.00
"018 Ballymun D, Dublin City",21188.00,22279.00,NA,7.10,23.60,8.90,6.20,24.50,29.80,34.70
"019 Ballymun E, Dublin City",41088.00,43965.00,NA,2.60,18.00,16.60,6.90,39.10,16.70,3.40
"020 Ballymun F, Dublin City",32656.00,37517.00,0.10,4.00,17.80,15.30,8.50,34.70,19.50,4.70
"021 Beaumont A, Dublin City",35490.00,38734.00,NA,4.90,17.60,15.50,8.00,33.10,20.90,5.40
"022 Beaumont B, Dublin City",37407.00,34570.00,0.30,3.80,17.90,14.40,4.00,41.10,18.50,6.10
"023 Beaumont C, Dublin City",34219.00,35817.00,0.40,3.70,24.00,16.90,6.50,28.40,20.10,6.50
"024 Beaumont D, Dublin City",35441.00,37468.00,0.60,5.10,21.10,12.90,7.10,32.80,20.50,4.30
"025 Beaumont E, Dublin City",35937.00,41790.00,0.60,3.50,21.00,16.60,7.50,34.50,16.40,5.80
"026 Beaumont F, Dublin City",37030.00,38167.00,0.40,4.20,19.20,17.70,6.30,36.40,15.80,4.50
"027 Botanic A, Dublin City",42902.00,40561.00,0.30,1.60,20.30,23.80,6.50,35.60,12.00,5.80
"028 Botanic B, Dublin City",45799.00,45614.00,0.30,2.30,21.30,22.50,4.70,37.00,11.90,6.50
"029 Botanic C, Dublin City",38653.00,37491.00,0.50,2.40,20.00,26.40,3.40,36.40,11.00,8.00
"030 Cabra East A, Dublin City",35816.00,35097.00,0.20,2.50,20.20,21.30,3.10,38.20,14.50,11.00
"031 Cabra East B, Dublin City",30179.00,31765.00,0.10,4.60,16.80,17.00,5.70,34.70,21.10,15.40
"032 Cabra East C, Dublin City",31441.00,31433.00,NA,3.40,20.30,24.40,3.80,31.10,16.90,18.30
"033 Cabra West A, Dublin City",28700.00,30084.00,NA,5.40,15.50,13.20,6.20,36.00,23.70,16.20
"034 Cabra West B, Dublin City",27683.00,28145.00,0.70,6.00,14.60,13.90,5.60,34.00,25.10,21.30
"035 Cabra West C, Dublin City",29615.00,33429.00,0.50,3.90,18.70,16.30,6.20,35.20,19.20,16.60
"036 Cabra West D, Dublin City",35412.00,35501.00,NA,2.70,17.10,22.60,5.80,36.00,15.60,12.60
"037 Clontarf East A, Dublin City",42543.00,45551.00,NA,2.90,20.10,20.90,5.10,34.10,16.90,7.00
"038 Clontarf East B, Dublin City",45490.00,53403.00,0.10,2.00,22.50,28.20,5.40,27.90,14.00,5.50
"039 Clontarf East C, Dublin City",47787.00,51048.00,0.40,2.00,23.70,24.20,5.40,30.50,13.80,4.40
"040 Clontarf East D, Dublin City",49425.00,52019.00,0.40,1.80,27.20,27.30,4.60,25.40,13.30,4.80
"041 Clontarf East E, Dublin City",45090.00,52422.00,0.50,2.30,24.70,26.30,4.70,27.70,13.80,2.70
"042 Clontarf West A, Dublin City",40058.00,43989.00,NA,3.50,22.10,20.30,5.40,30.70,18.00,7.70
"043 Clontarf West B, Dublin City",31388.00,38633.00,0.10,4.00,21.00,20.40,6.00,27.10,21.40,15.00
